image_path,xmin,ymin,xmax,ymax,label
D_original.jpg,1177,1516,1257,1596,BRPE
D_original.jpg,1216,2692,1296,2772,BRPE
D_original.jpg,2516,2289,2596,2369,BRPE
D_original.jpg,3046,2323,3126,2403,BRPE
D_original.jpg,2343,47,2423,127,BRPE
D_original.jpg,1889,1732,1969,1812,BRPE
D_original.jpg,2155,1411,2235,1491,BRPE
D_original.jpg,1938,569,2018,649,BRPE
D_original.jpg,1751,267,1831,347,BRPE
D_original.jpg,1785,187,1865,267,BRPE
D_original.jpg,1637,505,1717,585,BRPE
D_original.jpg,1646,1384,1726,1464,BRPE
D_original.jpg,2272,16,2352,96,BRPE
D_original.jpg,2439,2312,2519,2392,BRPE
D_original.jpg,1210,1681,1290,1761,BRPE
D_original.jpg,1650,1558,1730,1638,BRPE
D_original.jpg,2439,1907,2519,1987,BRPE
D_original.jpg,2631,1673,2711,1753,BRPE
D_original.jpg,1564,2187,1644,2267,BRPE
D_original.jpg,484,2822,564,2902,BRPE
D_original.jpg,1797,2300,1877,2380,BRPE
D_original.jpg,2843,2035,2923,2115,BRPE
D_original.jpg,1256,1470,1336,1550,BRPE
D_original.jpg,3005,2003,3085,2083,BRPE
D_original.jpg,1358,1348,1438,1428,BRPE
D_original.jpg,1782,1729,1862,1809,BRPE
D_original.jpg,660,1976,740,2056,BRPE
D_original.jpg,724,2821,804,2901,BRPE
D_original.jpg,2231,2261,2311,2341,BRPE
D_original.jpg,1042,1658,1122,1738,BRPE
D_original.jpg,1894,1665,1974,1745,BRPE
D_original.jpg,1251,2225,1331,2305,BRPE
D_original.jpg,640,2711,720,2791,BRPE
D_original.jpg,1199,1223,1279,1303,BRPE
D_original.jpg,2377,2148,2457,2228,BRPE
D_original.jpg,161,146,241,226,BRPE
D_original.jpg,1959,1076,2039,1156,BRPE
D_original.jpg,1744,1551,1824,1631,BRPE
D_original.jpg,1677,2151,1757,2231,BRPE
D_original.jpg,2314,1196,2394,1276,BRPE
D_original.jpg,1938,1513,2018,1593,BRPE
D_original.jpg,1536,476,1616,556,BRPE
D_original.jpg,1494,1837,1574,1917,BRPE
D_original.jpg,1396,2248,1476,2328,BRPE
D_original.jpg,1485,163,1565,243,BRPE
D_original.jpg,1600,237,1680,317,BRPE
D_original.jpg,316,140,396,220,BRPE
D_original.jpg,1365,1146,1445,1226,BRPE
D_original.jpg,2382,200,2462,280,BRPE
D_original.jpg,1317,2321,1397,2401,BRPE
D_original.jpg,3068,600,3148,680,BRPE
D_original.jpg,2247,1230,2327,1310,BRPE
D_original.jpg,1202,2412,1282,2492,BRPE
D_original.jpg,2526,1282,2606,1362,BRPE
D_original.jpg,1300,2014,1380,2094,BRPE
D_original.jpg,523,57,603,137,BRPE
D_original.jpg,399,2662,479,2742,BRPE
D_original.jpg,670,2914,750,2994,BRPE
D_original.jpg,2813,6,2893,86,BRPE
D_original.jpg,1363,378,1443,458,BRPE
D_original.jpg,1404,917,1484,997,BRPE
D_original.jpg,2563,1692,2643,1772,BRPE
D_original.jpg,1617,1194,1697,1274,BRPE
D_original.jpg,1562,191,1642,271,BRPE
D_original.jpg,2402,1218,2482,1298,BRPE
D_original.jpg,379,69,459,149,BRPE
D_original.jpg,2079,1227,2159,1307,BRPE
D_original.jpg,1342,1240,1422,1320,BRPE
D_original.jpg,2092,1896,2172,1976,BRPE
D_original.jpg,1449,1740,1529,1820,BRPE
D_original.jpg,2882,45,2962,125,BRPE
D_original.jpg,1372,1484,1452,1564,BRPE
D_original.jpg,1164,1624,1244,1704,BRPE
D_original.jpg,2426,153,2506,233,BRPE
D_original.jpg,1868,1106,1948,1186,BRPE
D_original.jpg,149,3020,229,3100,BRPE
D_original.jpg,287,2759,367,2839,BRPE
D_original.jpg,2993,1430,3073,1510,BRPE
D_original.jpg,1536,2121,1616,2201,BRPE
D_original.jpg,1544,1687,1624,1767,BRPE
D_original.jpg,323,2540,403,2620,BRPE
D_original.jpg,1697,1306,1777,1386,BRPE
D_original.jpg,2182,2223,2262,2303,BRPE
D_original.jpg,46,142,126,222,BRPE
D_original.jpg,1099,1620,1179,1700,BRPE
D_original.jpg,3035,1126,3115,1206,BRPE
D_original.jpg,1629,1701,1709,1781,BRPE
D_original.jpg,1905,1330,1985,1410,BRPE
D_original.jpg,1195,1312,1275,1392,BRPE
D_original.jpg,2100,2293,2180,2373,BRPE
D_original.jpg,446,1885,526,1965,BRPE
D_original.jpg,2029,1576,2109,1656,BRPE
D_original.jpg,3009,679,3089,759,BRPE
D_original.jpg,1886,1533,1966,1613,BRPE
D_original.jpg,1480,278,1560,358,BRPE
D_original.jpg,2903,0,2983,53,BRPE
D_original.jpg,2929,1153,3009,1233,BRPE
D_original.jpg,43,1397,123,1477,BRPE
D_original.jpg,2876,2302,2956,2382,BRPE
D_original.jpg,36,2638,116,2718,BRPE
D_original.jpg,1214,1411,1294,1491,BRPE
D_original.jpg,2207,1883,2287,1963,BRPE
D_original.jpg,21,1303,101,1383,BRPE
D_original.jpg,241,3002,321,3082,BRPE
D_original.jpg,2694,195,2774,275,BRPE
D_original.jpg,1420,2337,1500,2417,BRPE
D_original.jpg,477,1927,557,2007,BRPE
D_original.jpg,1693,1173,1773,1253,BRPE
D_original.jpg,1249,30,1329,110,BRPE
D_original.jpg,2331,1126,2411,1206,BRPE
D_original.jpg,677,1480,757,1560,BRPE
D_original.jpg,1760,1149,1840,1229,BRPE
D_original.jpg,3051,98,3131,178,BRPE
D_original.jpg,621,1690,701,1770,BRPE
D_original.jpg,2802,2139,2882,2219,BRPE
D_original.jpg,1691,2326,1771,2406,BRPE
D_original.jpg,523,2406,603,2486,BRPE
D_original.jpg,2961,2426,3041,2506,BRPE
D_original.jpg,2741,1885,2821,1965,BRPE
D_original.jpg,1327,2377,1407,2457,BRPE
D_original.jpg,1501,1751,1581,1831,BRPE
D_original.jpg,1145,231,1225,311,BRPE
D_original.jpg,2154,50,2234,130,BRPE
D_original.jpg,2641,2308,2721,2388,BRPE
D_original.jpg,2974,608,3054,688,BRPE
D_original.jpg,2631,2245,2711,2325,BRPE
D_original.jpg,3051,3,3131,83,BRPE
D_original.jpg,2348,2356,2428,2436,BRPE
D_original.jpg,1422,1381,1502,1461,BRPE
D_original.jpg,1051,1523,1131,1603,BRPE
D_original.jpg,3005,1358,3085,1438,BRPE
D_original.jpg,3060,1050,3140,1130,BRPE
D_original.jpg,1365,109,1445,189,BRPE
D_original.jpg,924,759,1004,839,BRPE
