image_path,xmin,ymin,xmax,ymax,label
D_original.jpg,1157,1501,1277,1611,Bird
D_original.jpg,1196,2677,1316,2787,Bird
D_original.jpg,2496,2274,2616,2384,Bird
D_original.jpg,3026,2308,3146,2418,Bird
D_original.jpg,2324,32,2444,142,Bird
D_original.jpg,1869,1717,1989,1827,Bird
D_original.jpg,2136,1396,2256,1506,Bird
D_original.jpg,1918,554,2038,664,Bird
D_original.jpg,1731,252,1851,362,Bird
D_original.jpg,1765,172,1885,282,Bird
D_original.jpg,1617,490,1737,600,Bird
D_original.jpg,1626,1369,1746,1479,Bird
D_original.jpg,2252,1,2372,111,Bird
D_original.jpg,2419,2297,2539,2407,Bird
D_original.jpg,1190,1666,1310,1776,Bird
D_original.jpg,1630,1543,1750,1653,Bird
D_original.jpg,2419,1893,2539,2003,Bird
D_original.jpg,2611,1658,2731,1768,Bird
D_original.jpg,1544,2172,1664,2282,Bird
D_original.jpg,464,2807,584,2917,Bird
D_original.jpg,1777,2285,1897,2395,Bird
D_original.jpg,2823,2020,2943,2130,Bird
D_original.jpg,1236,1455,1356,1565,Bird
D_original.jpg,2985,1988,3105,2098,Bird
D_original.jpg,1338,1334,1458,1444,Bird
D_original.jpg,1762,1714,1882,1824,Bird
D_original.jpg,640,1961,760,2071,Bird
D_original.jpg,704,2806,824,2916,Bird
D_original.jpg,2211,2247,2331,2357,Bird
D_original.jpg,1022,1643,1142,1753,Bird
D_original.jpg,1874,1650,1994,1760,Bird
D_original.jpg,1231,2210,1351,2320,Bird
D_original.jpg,620,2696,740,2806,Bird
D_original.jpg,1179,1208,1299,1318,Bird
D_original.jpg,2357,2133,2477,2243,Bird
D_original.jpg,141,131,261,241,Bird
D_original.jpg,1939,1061,2059,1171,Bird
D_original.jpg,1724,1536,1844,1646,Bird
D_original.jpg,1657,2136,1777,2246,Bird
D_original.jpg,2295,1181,2415,1291,Bird
D_original.jpg,1918,1498,2038,1608,Bird
D_original.jpg,1516,461,1636,571,Bird
D_original.jpg,1474,1822,1594,1932,Bird
D_original.jpg,1376,2233,1496,2343,Bird
D_original.jpg,1465,148,1585,258,Bird
D_original.jpg,1580,222,1700,332,Bird
D_original.jpg,296,125,416,235,Bird
D_original.jpg,1345,1131,1465,1241,Bird
D_original.jpg,2362,185,2482,295,Bird
D_original.jpg,1298,2306,1418,2416,Bird
D_original.jpg,3048,585,3168,695,Bird
D_original.jpg,2227,1215,2347,1325,Bird
D_original.jpg,1182,2397,1302,2507,Bird
D_original.jpg,2506,1267,2626,1377,Bird
D_original.jpg,1280,1999,1400,2109,Bird
D_original.jpg,503,42,623,152,Bird
D_original.jpg,379,2647,499,2757,Bird
D_original.jpg,650,2899,770,3009,Bird
D_original.jpg,2793,0,2913,101,Bird
D_original.jpg,1343,363,1463,473,Bird
D_original.jpg,1384,902,1504,1012,Bird
D_original.jpg,2543,1677,2663,1787,Bird
D_original.jpg,1597,1179,1717,1289,Bird
D_original.jpg,1542,176,1662,286,Bird
D_original.jpg,2382,1203,2502,1313,Bird
D_original.jpg,359,54,479,164,Bird
D_original.jpg,2059,1212,2179,1322,Bird
D_original.jpg,1322,1225,1442,1335,Bird
D_original.jpg,2072,1881,2192,1991,Bird
D_original.jpg,1429,1725,1549,1835,Bird
D_original.jpg,2862,30,2982,140,Bird
D_original.jpg,1352,1469,1472,1579,Bird
D_original.jpg,1144,1609,1264,1719,Bird
D_original.jpg,2406,138,2526,248,Bird
D_original.jpg,1848,1091,1968,1201,Bird
D_original.jpg,129,3005,249,3115,Bird
D_original.jpg,267,2744,387,2854,Bird
D_original.jpg,2974,1415,3094,1525,Bird
